,Gender,Age,Education,EducationField,JobRole,YearsAtCompany,BusinessTravel,Department,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHQ,State,AgeWhenHired,MaritalStatus,PercentSalaryHike,StockOptionLevel,MonthlyIncome,Compensation
557,F,36.0,Bachelors,Technical Degree,Research Scientist,11.0,Travel_Frequently,Research & Development,High,High,Junior Associate,Medium,1.0,No,Excellent,High,12.0,2.0,2.0,10.0,0.0,7.0,6.8149,NY,33.0,Married,12.0,No Option Plan,3692.0,High
558,F,48.0,Some College,Technical Degree,Laboratory Technician,1.0,Travel_Rarely,Research & Development,Very High,Very High,Junior Associate,Medium,5.0,No,Excellent,High,7.0,4.0,2.0,0.0,0.0,0.0,9.5773,NY,25.0,Single,11.0,No Option Plan,2559.0,Low
559,F,27.0,Some College,Life Sciences,Research Scientist,5.0,Travel_Rarely,Research & Development,Low,High,Junior Associate,High,1.0,No,Excellent,Medium,5.0,2.0,3.0,3.0,0.0,3.0,1.5967,NY,40.0,Divorced,11.0,Small Option Plan,2517.0,High
560,F,29.0,Bachelors,Life Sciences,Healthcare Representative,6.0,Travel_Rarely,Research & Development,High,High,Associate,Very High,1.0,Yes,Excellent,Medium,6.0,2.0,3.0,0.0,1.0,0.0,6.6272,NJ,20.0,Divorced,11.0,Large Option Plan,6623.0,High
561,M,48.0,Bachelors,Life Sciences,Research Director,1.0,Travel_Rarely,Research & Development,Very High,Medium,VP to C-Level,Very High,6.0,No,Excellent,High,25.0,3.0,4.0,0.0,0.0,0.0,6.6976,NY,32.0,Single,12.0,No Option Plan,18265.0,High
562,M,29.0,Bachelors,Life Sciences,Research Director,7.0,Travel_Rarely,Research & Development,Very High,Medium,Executive,Very High,3.0,No,Excellent,Medium,9.0,2.0,2.0,7.0,1.0,7.0,4.1185,NJ,33.0,Divorced,14.0,Large Option Plan,16124.0,High
563,F,34.0,Bachelors,Technical Degree,Research Scientist,1.0,Travel_Rarely,Research & Development,High,Very High,Junior Associate,High,0.0,No,Excellent,Very High,2.0,5.0,2.0,0.0,0.0,0.0,5.3804,NY,32.0,Married,17.0,No Option Plan,2585.0,High
564,F,19.0,Bachelors,Life Sciences,Research Scientist,1.0,Travel_Rarely,Research & Development,Medium,Very High,Junior Associate,Very High,1.0,Yes,Excellent,Very High,1.0,2.0,3.0,0.0,0.0,1.0,7.6063,NY,44.0,Single,12.0,No Option Plan,2994.0,Low
565,M,23.0,Some College,Life Sciences,Research Scientist,1.0,Travel_Rarely,Research & Development,Very High,High,Junior Associate,High,1.0,No,Outstanding,Very High,1.0,2.0,3.0,0.0,0.0,1.0,8.3936,NY,39.0,Married,22.0,Full Option Plan,1223.0,Low
566,M,26.0,Some College,Life Sciences,Research Scientist,8.0,Travel_Rarely,Research & Development,High,High,Junior Associate,Very High,1.0,Yes,Outstanding,Medium,8.0,2.0,2.0,5.0,2.0,2.0,6.9535,NJ,46.0,Single,20.0,No Option Plan,2875.0,Low
567,M,55.0,Below College,Medical,Healthcare Representative,33.0,Non-Travel,Operations,Very High,Medium,Executive,Medium,1.0,Yes,Excellent,Very High,34.0,3.0,3.0,9.0,15.0,0.0,8.4539,NY,26.0,Divorced,15.0,Full Option Plan,13577.0,High
568,M,59.0,Masters,Medical,Manufacturing Director,9.0,Travel_Rarely,Operations,Very High,High,Manager,Very High,6.0,No,Excellent,Very High,25.0,6.0,2.0,7.0,5.0,4.0,7.2556,NJ,43.0,Single,12.0,No Option Plan,10512.0,Low
569,M,34.0,Bachelors,Medical,Laboratory Technician,11.0,Travel_Frequently,Operations,High,High,Associate,Medium,4.0,No,Excellent,High,15.0,2.0,4.0,8.0,5.0,10.0,3.3342,NY,21.0,Divorced,13.0,Large Option Plan,4444.0,Low
570,F,28.0,Masters,Medical,Laboratory Technician,4.0,Travel_Frequently,Operations,Very High,High,Junior Associate,High,0.0,Yes,Excellent,High,5.0,2.0,2.0,2.0,0.0,2.0,6.2861,NJ,19.0,Single,11.0,No Option Plan,2154.0,Low
571,F,44.0,Some College,Life Sciences,Manager,25.0,Travel_Rarely,Operations,High,Very High,VP to C-Level,Low,1.0,No,Excellent,Very High,26.0,4.0,2.0,9.0,14.0,13.0,5.8833,NJ,30.0,Divorced,14.0,Large Option Plan,19190.0,High
572,F,35.0,Below College,Life Sciences,Research Scientist,3.0,Travel_Rarely,Operations,High,High,Junior Associate,High,0.0,Yes,Excellent,Very High,4.0,3.0,3.0,2.0,2.0,2.0,5.5446,NY,24.0,Married,14.0,No Option Plan,3506.0,Low
573,M,42.0,Masters,Medical,Research Scientist,1.0,Travel_Rarely,Operations,Medium,Very High,Associate,Medium,6.0,Yes,Excellent,Very High,18.0,2.0,3.0,0.0,0.0,0.0,1.471,NY,46.0,Married,16.0,No Option Plan,2372.0,High
574,F,36.0,Masters,Life Sciences,Manufacturing Director,16.0,Travel_Rarely,Research & Development,High,High,Associate,Medium,9.0,Yes,Excellent,Very High,18.0,2.0,3.0,14.0,5.0,12.0,3.8066,NY,44.0,Single,11.0,No Option Plan,5410.0,High
575,M,28.0,Bachelors,Life Sciences,Laboratory Technician,2.0,Travel_Frequently,Research & Development,Very High,Medium,Junior Associate,Very High,1.0,Yes,Excellent,Medium,2.0,2.0,3.0,2.0,2.0,2.0,7.3785,NY,41.0,Married,12.0,Full Option Plan,3867.0,High
576,M,51.0,Some College,Medical,Laboratory Technician,7.0,Travel_Frequently,Research & Development,Medium,Medium,Junior Associate,High,0.0,No,Excellent,Medium,8.0,6.0,2.0,0.0,7.0,7.0,8.7145,NY,39.0,Single,14.0,No Option Plan,2838.0,Low
577,M,30.0,Some College,Medical,Manufacturing Director,8.0,Non-Travel,Finance,High,High,Associate,High,7.0,Yes,Excellent,High,10.0,3.0,3.0,4.0,1.0,7.0,5.5254,NY,29.0,Single,18.0,No Option Plan,4695.0,Low
578,M,28.0,Bachelors,Technical Degree,Research Scientist,3.0,Travel_Rarely,Finance,Very High,High,Junior Associate,Low,2.0,No,Excellent,Medium,5.0,2.0,2.0,2.0,1.0,2.0,4.5289,NY,39.0,Single,11.0,No Option Plan,2080.0,High
579,M,25.0,Bachelors,Medical,Research Scientist,2.0,Travel_Rarely,Finance,Very High,High,Junior Associate,Medium,1.0,No,Excellent,Very High,2.0,3.0,2.0,2.0,2.0,1.0,2.9656,NY,35.0,Single,18.0,No Option Plan,2096.0,Low
580,M,45.0,Bachelors,Medical,Manager,0.0,Travel_Frequently,Finance,Medium,High,VP to C-Level,Medium,3.0,No,Outstanding,High,22.0,4.0,3.0,0.0,0.0,0.0,2.0826,NY,36.0,Single,22.0,No Option Plan,18061.0,Low
581,M,39.0,Masters,Medical,Manager,19.0,Travel_Rarely,Finance,High,Medium,Executive,Medium,6.0,Yes,Excellent,Very High,21.0,4.0,3.0,9.0,15.0,2.0,9.0917,NY,24.0,Divorced,13.0,Large Option Plan,17123.0,High
582,M,58.0,Masters,Life Sciences,Research Scientist,2.0,Travel_Rarely,Research & Development,Low,High,Junior Associate,High,1.0,No,Excellent,Very High,2.0,3.0,3.0,2.0,2.0,2.0,2.3293,NY,31.0,Divorced,12.0,Large Option Plan,2372.0,High
583,F,30.0,Bachelors,Technical Degree,Laboratory Technician,9.0,Travel_Rarely,Research & Development,Low,Medium,Associate,Very High,0.0,No,Excellent,Low,10.0,6.0,3.0,2.0,6.0,7.0,9.9577,NY,28.0,Married,12.0,Full Option Plan,4627.0,High
584,F,36.0,Masters,Technical Degree,Healthcare Representative,7.0,Travel_Rarely,Research & Development,Very High,High,Manager,High,3.0,No,Excellent,Low,10.0,0.0,3.0,7.0,1.0,7.0,3.8226,NY,46.0,Married,12.0,No Option Plan,7094.0,High
585,F,28.0,Bachelors,Life Sciences,Laboratory Technician,9.0,Non-Travel,Research & Development,High,Low,Associate,Very High,0.0,No,Excellent,Low,10.0,6.0,3.0,8.0,7.0,5.0,5.235,NY,28.0,Married,11.0,Small Option Plan,6674.0,Low
586,M,50.0,Bachelors,Life Sciences,Research Director,3.0,Travel_Rarely,Research & Development,Very High,High,Executive,Low,4.0,Yes,Excellent,Medium,25.0,2.0,3.0,2.0,1.0,2.0,6.9482,NJ,29.0,Married,11.0,No Option Plan,16880.0,High
587,F,30.0,Masters,Medical,Manager,9.0,Travel_Rarely,Research & Development,Medium,High,Manager,Low,1.0,Yes,Outstanding,Very High,9.0,2.0,3.0,1.0,0.0,8.0,4.296,NY,20.0,Married,23.0,Large Option Plan,11916.0,Low
588,F,39.0,Some College,Life Sciences,Manufacturing Director,8.0,Travel_Rarely,Research & Development,Low,High,Associate,High,0.0,No,Excellent,Low,9.0,6.0,3.0,7.0,1.0,7.0,0.9891,NY,36.0,Single,11.0,No Option Plan,4534.0,Low
589,M,42.0,Below College,Life Sciences,Manager,20.0,Non-Travel,Research & Development,High,High,Executive,High,0.0,Yes,Excellent,Very High,21.0,3.0,2.0,8.0,2.0,10.0,5.579,NY,42.0,Married,13.0,No Option Plan,17861.0,Low
590,M,55.0,Some College,Medical,Manager,19.0,Travel_Rarely,Research & Development,Very High,Low,VP to C-Level,High,4.0,No,Excellent,Very High,23.0,5.0,3.0,9.0,9.0,11.0,8.1011,NJ,33.0,Married,14.0,Full Option Plan,19187.0,Low
591,F,40.0,Some College,Life Sciences,Research Scientist,4.0,Non-Travel,Research & Development,High,High,Junior Associate,High,9.0,No,Excellent,Medium,6.0,0.0,3.0,2.0,0.0,0.0,6.3942,NY,32.0,Divorced,16.0,Full Option Plan,3544.0,Low
592,M,34.0,Bachelors,Life Sciences,Healthcare Representative,9.0,Travel_Rarely,Research & Development,Very High,High,Manager,Very High,0.0,No,Excellent,Very High,10.0,0.0,2.0,7.0,1.0,6.0,9.9239,NJ,21.0,Divorced,11.0,Full Option Plan,8500.0,Low
593,F,40.0,Bachelors,Life Sciences,Research Scientist,9.0,Travel_Rarely,Research & Development,High,High,Associate,Very High,1.0,No,Excellent,High,9.0,4.0,3.0,8.0,8.0,8.0,8.677,NJ,34.0,Single,13.0,No Option Plan,4661.0,Low
594,F,35.0,Masters,Life Sciences,Research Scientist,9.0,Travel_Frequently,Research & Development,High,High,Associate,High,1.0,Yes,Excellent,Medium,9.0,3.0,3.0,6.0,1.0,1.0,2.5622,NJ,21.0,Single,11.0,No Option Plan,4249.0,High
595,M,25.0,Below College,Medical,Laboratory Technician,3.0,Travel_Rarely,Research & Development,Very High,High,Junior Associate,Very High,3.0,No,Excellent,High,7.0,6.0,2.0,2.0,1.0,2.0,9.0803,NJ,20.0,Married,11.0,Small Option Plan,3669.0,Low
596,F,40.0,Masters,Life Sciences,Laboratory Technician,4.0,Travel_Rarely,Research & Development,Medium,High,Junior Associate,Medium,3.0,No,Outstanding,High,7.0,3.0,3.0,2.0,0.0,3.0,4.5823,NY,30.0,Married,22.0,Full Option Plan,2387.0,Low
597,F,48.0,Bachelors,Life Sciences,Manufacturing Director,10.0,Travel_Rarely,Research & Development,Very High,High,Manager,Very High,1.0,No,Excellent,High,11.0,2.0,3.0,9.0,0.0,8.0,8.5202,NY,48.0,Single,11.0,No Option Plan,7898.0,Low
598,F,51.0,Some College,Technical Degree,Manufacturing Director,5.0,Travel_Rarely,Research & Development,Very High,Medium,Executive,Medium,3.0,No,Excellent,Medium,29.0,1.0,2.0,2.0,0.0,3.0,8.8291,NY,26.0,Single,16.0,No Option Plan,13142.0,High
599,M,18.0,Bachelors,Life Sciences,Laboratory Technician,0.0,Non-Travel,Research & Development,Very High,High,Junior Associate,Very High,1.0,No,Excellent,High,0.0,5.0,4.0,0.0,0.0,0.0,0.4621,NY,21.0,Single,15.0,No Option Plan,1611.0,High
600,M,35.0,Bachelors,Medical,Laboratory Technician,9.0,Travel_Rarely,Research & Development,Very High,Medium,Associate,Very High,0.0,No,Excellent,Medium,10.0,0.0,3.0,7.0,0.0,0.0,7.0209,NY,29.0,Married,12.0,Full Option Plan,5363.0,High
601,M,56.0,Bachelors,Life Sciences,Manufacturing Director,19.0,Travel_Rarely,Research & Development,Very High,High,Executive,Medium,4.0,Yes,Excellent,Low,33.0,0.0,3.0,16.0,15.0,9.0,7.8035,NJ,34.0,Married,12.0,Full Option Plan,13402.0,High
602,F,34.0,Below College,Technical Degree,Research Scientist,5.0,Non-Travel,Research & Development,Low,Medium,Junior Associate,High,1.0,No,Outstanding,High,5.0,2.0,3.0,4.0,0.0,0.0,4.0169,NJ,40.0,Divorced,20.0,Small Option Plan,2029.0,High
603,M,40.0,Below College,Medical,Healthcare Representative,12.0,Travel_Rarely,Research & Development,Medium,Very High,Associate,High,5.0,No,Outstanding,Medium,15.0,0.0,3.0,11.0,11.0,8.0,6.5359,NY,31.0,Divorced,20.0,Small Option Plan,6377.0,High
604,M,34.0,Bachelors,Medical,Laboratory Technician,8.0,Travel_Rarely,Research & Development,Medium,High,Associate,High,4.0,No,Excellent,Low,10.0,1.0,3.0,7.0,7.0,7.0,9.5197,NJ,34.0,Married,13.0,Large Option Plan,5429.0,High
605,F,38.0,Bachelors,Life Sciences,Research Scientist,4.0,Travel_Frequently,Research & Development,Very High,Very High,Junior Associate,High,1.0,No,Excellent,Very High,4.0,2.0,3.0,2.0,0.0,3.0,7.8462,NJ,50.0,Divorced,11.0,Small Option Plan,2610.0,Low
606,M,34.0,Masters,Technical Degree,Healthcare Representative,14.0,Travel_Rarely,Research & Development,High,High,Associate,Very High,1.0,No,Excellent,Very High,14.0,2.0,4.0,11.0,4.0,11.0,9.3724,NY,29.0,Single,11.0,No Option Plan,6687.0,High
607,F,41.0,Bachelors,Life Sciences,Research Scientist,6.0,Travel_Frequently,Research & Development,Very High,High,Associate,Very High,3.0,Yes,Excellent,Low,12.0,4.0,2.0,2.0,3.0,3.0,5.5882,NY,36.0,Divorced,14.0,Large Option Plan,5467.0,High
608,M,37.0,Below College,Life Sciences,Research Scientist,6.0,Travel_Rarely,Research & Development,High,High,Junior Associate,High,7.0,Yes,Excellent,Very High,8.0,2.0,3.0,4.0,1.0,3.0,9.7696,NY,38.0,Married,15.0,No Option Plan,2996.0,High
609,M,39.0,Some College,Life Sciences,Healthcare Representative,6.0,Non-Travel,Research & Development,High,High,Manager,High,3.0,No,Outstanding,Medium,13.0,2.0,3.0,4.0,0.0,5.0,5.806,NJ,39.0,Married,21.0,Full Option Plan,10920.0,High
610,F,52.0,Some College,Medical,Manufacturing Director,5.0,Travel_Frequently,Research & Development,Very High,Very High,Executive,High,2.0,Yes,Excellent,Medium,24.0,3.0,2.0,3.0,0.0,2.0,2.4086,NY,49.0,Married,11.0,Full Option Plan,13247.0,High
611,M,43.0,Bachelors,Medical,Research Scientist,20.0,Travel_Rarely,Research & Development,Low,Medium,Associate,High,1.0,Yes,Excellent,Low,20.0,3.0,1.0,7.0,1.0,8.0,3.6559,NJ,21.0,Single,14.0,No Option Plan,4081.0,High
612,M,26.0,Below College,Medical,Research Scientist,4.0,Travel_Rarely,Research & Development,Low,Medium,Junior Associate,Very High,0.0,No,Excellent,Very High,5.0,2.0,3.0,3.0,1.0,1.0,3.0228,NY,24.0,Single,12.0,No Option Plan,3904.0,High
613,M,52.0,Masters,Other,Laboratory Technician,5.0,Travel_Rarely,Research & Development,High,High,Junior Associate,Low,9.0,No,Excellent,High,12.0,2.0,1.0,4.0,0.0,4.0,6.7751,NY,23.0,Married,13.0,No Option Plan,2950.0,Low
614,F,37.0,Bachelors,Medical,Laboratory Technician,3.0,Travel_Rarely,Research & Development,Low,High,Junior Associate,High,4.0,No,Excellent,Low,8.0,6.0,3.0,2.0,0.0,2.0,0.671,NY,21.0,Single,18.0,No Option Plan,3629.0,High
615,M,35.0,Some College,Life Sciences,Manufacturing Director,2.0,Travel_Frequently,Research & Development,High,High,Manager,Very High,2.0,No,Excellent,High,10.0,2.0,3.0,2.0,2.0,2.0,9.0457,NY,38.0,Single,11.0,No Option Plan,9362.0,High
616,M,25.0,Bachelors,Technical Degree,Laboratory Technician,3.0,Travel_Rarely,Research & Development,Low,High,Junior Associate,Very High,4.0,No,Excellent,Medium,7.0,2.0,2.0,2.0,0.0,2.0,3.6686,NY,19.0,Married,11.0,Full Option Plan,3229.0,Low
617,M,26.0,Bachelors,Other,Laboratory Technician,7.0,Travel_Rarely,Research & Development,High,Very High,Junior Associate,Low,0.0,No,Excellent,Very High,8.0,2.0,3.0,7.0,0.0,7.0,5.1884,NY,24.0,Single,12.0,No Option Plan,3578.0,High
618,F,54.0,Bachelors,Medical,Research Director,20.0,Travel_Rarely,Research & Development,Very High,High,Executive,Very High,6.0,No,Excellent,Very High,29.0,3.0,2.0,7.0,12.0,7.0,2.7325,NY,21.0,Single,19.0,No Option Plan,17328.0,High
619,M,58.0,Bachelors,Medical,Research Director,9.0,Travel_Rarely,Research & Development,Very High,High,VP to C-Level,Low,3.0,Yes,Outstanding,High,32.0,3.0,3.0,8.0,1.0,5.0,8.8273,NY,21.0,Married,21.0,Full Option Plan,19701.0,High
620,F,55.0,Masters,Medical,Research Director,7.0,Travel_Rarely,Information Technology,Medium,Very High,Executive,Very High,2.0,No,Excellent,Very High,31.0,4.0,4.0,7.0,0.0,0.0,8.3225,NJ,33.0,Divorced,13.0,Large Option Plan,14732.0,Low
621,F,31.0,Doctorate,Life Sciences,Research Director,3.0,Travel_Rarely,Information Technology,Low,High,Executive,Medium,3.0,No,Excellent,High,9.0,3.0,4.0,2.0,1.0,0.0,6.2434,NY,46.0,Single,11.0,No Option Plan,16422.0,High
622,M,34.0,Masters,Other,Research Scientist,4.0,Travel_Frequently,Information Technology,Very High,High,Junior Associate,Low,5.0,No,Excellent,High,10.0,2.0,3.0,3.0,1.0,3.0,9.4288,NY,28.0,Divorced,14.0,Large Option Plan,2996.0,High
623,M,27.0,Below College,Life Sciences,Laboratory Technician,5.0,Travel_Rarely,Information Technology,Medium,High,Junior Associate,Low,0.0,No,Excellent,Medium,6.0,3.0,4.0,0.0,1.0,4.0,5.5308,NJ,42.0,Married,14.0,No Option Plan,2099.0,High
624,F,36.0,Masters,Life Sciences,Laboratory Technician,10.0,Travel_Rarely,Information Technology,Low,Medium,Associate,Very High,1.0,No,Excellent,High,10.0,2.0,2.0,4.0,1.0,8.0,9.8841,NY,22.0,Single,16.0,No Option Plan,5810.0,High
625,M,47.0,Bachelors,Technical Degree,Research Scientist,6.0,Travel_Rarely,Information Technology,Low,High,Junior Associate,Very High,7.0,No,Excellent,High,17.0,2.0,2.0,5.0,1.0,2.0,6.8787,NY,36.0,Married,12.0,Full Option Plan,3420.0,High
626,F,37.0,Some College,Technical Degree,Laboratory Technician,6.0,Non-Travel,Research & Development,High,Very High,Junior Associate,High,0.0,No,Excellent,Low,7.0,2.0,1.0,5.0,1.0,3.0,4.6206,NJ,31.0,Single,14.0,No Option Plan,3500.0,High
627,M,56.0,Some College,Life Sciences,Research Scientist,3.0,Travel_Rarely,Research & Development,Low,High,Junior Associate,Low,2.0,No,Outstanding,Very High,5.0,3.0,4.0,2.0,1.0,0.0,6.7542,NJ,23.0,Married,22.0,Full Option Plan,2066.0,High
628,M,47.0,Masters,Medical,Research Director,20.0,Travel_Rarely,Research & Development,Low,High,Executive,High,3.0,No,Excellent,Medium,26.0,2.0,4.0,17.0,5.0,6.0,8.8357,NY,19.0,Married,19.0,Large Option Plan,17169.0,High
629,M,34.0,Bachelors,Life Sciences,Laboratory Technician,5.0,Travel_Rarely,Research & Development,Very High,Medium,Junior Associate,Medium,5.0,No,Excellent,Low,7.0,2.0,2.0,4.0,0.0,2.0,5.0743,NJ,30.0,Married,17.0,Full Option Plan,3294.0,High
630,F,41.0,Doctorate,Medical,Research Scientist,4.0,Travel_Rarely,Research & Development,Medium,Very High,Junior Associate,High,2.0,Yes,Excellent,Low,7.0,5.0,2.0,2.0,0.0,3.0,4.8866,NY,39.0,Married,12.0,No Option Plan,2127.0,High
631,F,40.0,Masters,Other,Laboratory Technician,8.0,Non-Travel,Research & Development,High,High,Associate,High,3.0,No,Excellent,High,11.0,2.0,4.0,7.0,0.0,7.0,9.9334,NY,42.0,Divorced,11.0,Large Option Plan,3975.0,High
632,F,45.0,Bachelors,Medical,Healthcare Representative,7.0,Travel_Rarely,Research & Development,Medium,Low,Manager,Low,2.0,Yes,Excellent,Medium,24.0,2.0,3.0,7.0,0.0,7.0,8.655,NJ,31.0,Divorced,18.0,Full Option Plan,10851.0,High
633,M,45.0,Bachelors,Technical Degree,Manufacturing Director,3.0,Travel_Rarely,Research & Development,Medium,High,Manager,Very High,4.0,Yes,Excellent,Very High,10.0,4.0,4.0,1.0,1.0,2.0,5.2699,NJ,42.0,Married,18.0,Large Option Plan,9380.0,High
634,M,40.0,Below College,Medical,Research Director,9.0,Non-Travel,Research & Development,Very High,Medium,Manager,Medium,2.0,No,Excellent,High,16.0,5.0,3.0,8.0,4.0,8.0,6.0287,NY,29.0,Divorced,11.0,Full Option Plan,13757.0,High
635,F,44.0,Bachelors,Life Sciences,Laboratory Technician,5.0,Non-Travel,Research & Development,High,Medium,Junior Associate,High,3.0,No,Excellent,Very High,7.0,5.0,3.0,2.0,0.0,3.0,5.1184,NY,34.0,Single,14.0,No Option Plan,3162.0,High
636,M,53.0,Bachelors,Medical,Research Director,9.0,Travel_Rarely,Research & Development,Very High,Very High,Executive,Medium,4.0,No,Excellent,Medium,35.0,2.0,2.0,8.0,8.0,8.0,8.0724,NY,25.0,Single,12.0,No Option Plan,16598.0,High
637,F,49.0,Masters,Technical Degree,Healthcare Representative,3.0,Travel_Rarely,Research & Development,Low,High,Associate,High,2.0,No,Excellent,Medium,20.0,0.0,2.0,2.0,1.0,2.0,7.4101,NY,43.0,Married,14.0,Full Option Plan,6651.0,High
638,M,40.0,Bachelors,Medical,Research Scientist,3.0,Travel_Rarely,Marketing,High,High,Junior Associate,High,2.0,No,Excellent,High,8.0,3.0,4.0,1.0,1.0,2.0,7.9755,NJ,21.0,Divorced,14.0,Full Option Plan,2345.0,High
639,M,44.0,Bachelors,Life Sciences,Research Scientist,5.0,Travel_Rarely,Marketing,Very High,High,Junior Associate,Medium,1.0,No,Excellent,High,6.0,3.0,2.0,2.0,1.0,3.0,5.3161,NY,48.0,Single,13.0,No Option Plan,3420.0,High
640,F,42.0,Some College,Medical,Laboratory Technician,12.0,Travel_Frequently,Marketing,Low,High,Junior Associate,Very High,1.0,No,Excellent,High,12.0,3.0,3.0,9.0,5.0,8.0,8.3247,NY,40.0,Single,13.0,No Option Plan,3673.0,High
641,M,30.0,Bachelors,Technical Degree,Research Scientist,1.0,Non-Travel,Marketing,High,High,Junior Associate,High,1.0,No,Excellent,Medium,1.0,2.0,2.0,0.0,0.0,0.0,1.6465,NY,28.0,Divorced,13.0,Large Option Plan,1274.0,High
642,F,57.0,Some College,Life Sciences,Research Scientist,12.0,Travel_Rarely,Marketing,Medium,Very High,Associate,High,0.0,No,Outstanding,Low,13.0,2.0,2.0,9.0,2.0,8.0,9.2416,NY,19.0,Married,24.0,Full Option Plan,4900.0,Low
643,M,49.0,Masters,Life Sciences,Healthcare Representative,8.0,Travel_Rarely,Research & Development,High,High,Manager,Medium,3.0,No,Excellent,Medium,29.0,3.0,3.0,7.0,0.0,7.0,6.5051,NY,25.0,Divorced,14.0,Large Option Plan,10466.0,High
644,M,34.0,Bachelors,Medical,Research Director,14.0,Travel_Frequently,Research & Development,Medium,High,Executive,Low,7.0,No,Excellent,Very High,16.0,3.0,2.0,8.0,6.0,9.0,3.5961,NY,20.0,Divorced,14.0,Large Option Plan,17007.0,High
645,M,44.0,Below College,Medical,Manufacturing Director,2.0,Travel_Frequently,Research & Development,Medium,High,Manager,High,5.0,Yes,Excellent,Medium,16.0,2.0,2.0,2.0,2.0,2.0,9.0913,NY,46.0,Single,18.0,No Option Plan,10209.0,High
646,M,55.0,Masters,Life Sciences,Healthcare Representative,3.0,Travel_Rarely,Research & Development,Very High,High,Associate,High,0.0,Yes,Excellent,Medium,4.0,2.0,3.0,2.0,1.0,2.0,0.6766,NY,37.0,Married,16.0,No Option Plan,4035.0,Low
647,M,33.0,Masters,Medical,Laboratory Technician,5.0,Travel_Rarely,Research & Development,Low,Medium,Junior Associate,Medium,8.0,No,Excellent,Very High,8.0,5.0,3.0,4.0,0.0,2.0,6.2145,NY,42.0,Married,11.0,No Option Plan,3838.0,High
648,M,28.0,Bachelors,Life Sciences,Research Scientist,1.0,Travel_Rarely,Research & Development,Low,Medium,Junior Associate,High,1.0,No,Excellent,Very High,1.0,2.0,1.0,0.0,0.0,0.0,6.9328,NY,19.0,Divorced,14.0,Full Option Plan,1563.0,High
649,F,49.0,Some College,Medical,Laboratory Technician,3.0,Travel_Rarely,Research & Development,High,Medium,Associate,Low,4.0,No,Outstanding,Low,10.0,3.0,3.0,2.0,1.0,2.0,9.9594,NY,31.0,Married,25.0,Full Option Plan,4789.0,Low
650,M,29.0,Below College,Life Sciences,Laboratory Technician,3.0,Travel_Frequently,Research & Development,Very High,High,Junior Associate,Medium,0.0,No,Excellent,High,4.0,3.0,3.0,2.0,0.0,2.0,4.6975,NJ,40.0,Married,13.0,Small Option Plan,3180.0,High
651,M,28.0,Below College,Life Sciences,Manufacturing Director,8.0,Travel_Rarely,Research & Development,High,Low,Associate,Medium,1.0,No,Excellent,Medium,8.0,2.0,2.0,6.0,1.0,7.0,4.3248,NJ,35.0,Married,14.0,Large Option Plan,6549.0,Low
652,M,33.0,Doctorate,Life Sciences,Healthcare Representative,0.0,Travel_Rarely,Research & Development,Very High,High,Associate,High,2.0,Yes,Excellent,Low,14.0,6.0,3.0,0.0,0.0,0.0,7.6115,NJ,46.0,Single,17.0,No Option Plan,6388.0,High
653,F,32.0,Bachelors,Medical,Manager,5.0,Travel_Rarely,Research & Development,High,High,Manager,Very High,2.0,No,Outstanding,Medium,10.0,5.0,4.0,2.0,0.0,0.0,5.2488,NJ,19.0,Single,25.0,No Option Plan,11244.0,High
654,M,54.0,Masters,Medical,Manager,14.0,Travel_Frequently,Operations,Medium,High,Executive,Very High,3.0,No,Outstanding,Low,26.0,2.0,3.0,9.0,1.0,12.0,6.8551,NY,44.0,Divorced,20.0,Full Option Plan,16032.0,High
655,M,44.0,Bachelors,Life Sciences,Research Director,20.0,Travel_Rarely,Operations,Very High,High,Executive,Low,3.0,No,Excellent,High,24.0,1.0,4.0,6.0,14.0,17.0,16.8442,NJ,49.0,Married,13.0,Full Option Plan,16328.0,High
656,M,39.0,Bachelors,Life Sciences,Manufacturing Director,2.0,Travel_Rarely,Operations,Medium,High,Manager,Medium,4.0,No,Excellent,Very High,9.0,3.0,3.0,0.0,2.0,2.0,6.3743,NY,40.0,Single,18.0,No Option Plan,8376.0,High
657,M,35.0,Bachelors,Life Sciences,Healthcare Representative,11.0,Travel_Rarely,Operations,Very High,Medium,Manager,Medium,1.0,No,Excellent,Very High,11.0,3.0,1.0,8.0,3.0,3.0,10.5334,NJ,41.0,Single,19.0,No Option Plan,8606.0,High
658,F,23.0,Below College,Life Sciences,Laboratory Technician,4.0,Travel_Rarely,Operations,Low,High,Associate,High,0.0,No,Excellent,Medium,5.0,2.0,3.0,3.0,1.0,2.0,12.9569,NY,29.0,Single,14.0,No Option Plan,2272.0,Low
659,F,50.0,Doctorate,Medical,Research Director,32.0,Travel_Frequently,Operations,High,Low,Executive,Very High,1.0,Yes,Excellent,Very High,32.0,2.0,3.0,6.0,13.0,9.0,10.5401,NY,28.0,Single,13.0,No Option Plan,14411.0,High
