,CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Status,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
726,0_to_200,22,credits_paid_to_date,car_new,382,less_100,1_to_4,2,majority,none,3,car_other,20,bank,rent,1,unskilled,1,none,yes,No Risk
727,no_checking,25,prior_payments_delayed,furniture,4675,500_to_1000,4_to_7,3,majority,none,4,savings_insurance,39,none,free,2,skilled,1,none,yes,No Risk
728,0_to_200,16,credits_paid_to_date,furniture,1954,less_100,4_to_7,2,majority,none,2,car_other,21,none,own,1,skilled,1,none,yes,No Risk
729,0_to_200,28,outstanding_credit,car_used,7851,100_to_500,4_to_7,4,minority,none,4,unknown,52,stores,own,2,skilled,1,none,yes,Risk
730,no_checking,29,prior_payments_delayed,car_used,3351,unknown,1_to_4,3,majority,none,5,savings_insurance,49,none,own,2,skilled,2,yes,yes,No Risk
731,0_to_200,15,no_credits,car_new,476,100_to_500,less_1,1,majority,none,2,real_estate,21,none,rent,2,skilled,1,none,yes,No Risk
732,less_0,4,credits_paid_to_date,car_new,250,less_100,less_1,1,minority,none,1,savings_insurance,19,bank,rent,1,unemployed,1,none,yes,Risk
733,no_checking,35,credits_paid_to_date,appliances,5588,100_to_500,1_to_4,4,majority,none,4,real_estate,45,none,own,2,management_self-employed,2,yes,yes,No Risk
734,less_0,11,all_credits_paid_back,car_used,250,500_to_1000,less_1,1,majority,none,1,real_estate,21,bank,rent,1,unemployed,1,none,yes,No Risk
735,less_0,15,credits_paid_to_date,furniture,1916,100_to_500,1_to_4,3,majority,none,2,car_other,30,bank,rent,2,unemployed,1,none,yes,No Risk
736,no_checking,14,credits_paid_to_date,furniture,3021,less_100,4_to_7,2,majority,none,2,savings_insurance,46,none,own,1,skilled,2,yes,yes,No Risk
737,no_checking,27,prior_payments_delayed,education,4466,unknown,greater_7,3,majority,none,2,savings_insurance,41,stores,free,2,unskilled,1,yes,yes,No Risk
738,no_checking,30,outstanding_credit,furniture,3601,unknown,greater_7,4,majority,none,3,savings_insurance,35,bank,own,2,unskilled,1,none,yes,No Risk
739,no_checking,27,outstanding_credit,appliances,4849,greater_1000,greater_7,5,majority,none,3,car_other,49,none,free,2,skilled,2,yes,yes,No Risk
740,0_to_200,4,all_credits_paid_back,car_new,3490,100_to_500,1_to_4,1,minority,co-applicant,3,car_other,26,none,own,1,skilled,1,none,yes,Risk
741,less_0,15,credits_paid_to_date,furniture,3401,100_to_500,4_to_7,3,majority,none,3,car_other,33,none,own,1,skilled,2,none,yes,No Risk
742,no_checking,19,outstanding_credit,radio_tv,3667,500_to_1000,1_to_4,4,minority,none,3,car_other,44,none,own,1,skilled,1,none,yes,Risk
743,0_to_200,17,credits_paid_to_date,car_new,3321,less_100,unemployed,3,minority,none,3,savings_insurance,30,none,own,2,skilled,1,yes,yes,Risk
744,no_checking,22,outstanding_credit,education,6081,unknown,4_to_7,4,majority,none,5,savings_insurance,36,none,own,2,skilled,1,yes,yes,No Risk
745,no_checking,29,credits_paid_to_date,business,6417,100_to_500,1_to_4,4,majority,none,4,savings_insurance,40,none,own,1,management_self-employed,1,none,yes,No Risk
746,0_to_200,26,credits_paid_to_date,radio_tv,2553,less_100,1_to_4,3,majority,none,2,car_other,37,none,own,2,skilled,1,none,yes,No Risk
747,no_checking,27,outstanding_credit,radio_tv,5645,500_to_1000,4_to_7,4,minority,none,5,savings_insurance,48,none,own,2,management_self-employed,1,yes,yes,Risk
748,0_to_200,4,no_credits,car_new,250,less_100,less_1,2,majority,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
749,less_0,17,prior_payments_delayed,furniture,1884,less_100,4_to_7,2,minority,none,2,savings_insurance,45,stores,free,1,unskilled,1,yes,yes,Risk
750,less_0,4,all_credits_paid_back,car_new,1000,less_100,1_to_4,1,majority,none,2,real_estate,22,stores,rent,1,skilled,1,none,yes,No Risk
751,0_to_200,18,credits_paid_to_date,furniture,2236,500_to_1000,1_to_4,3,majority,none,2,savings_insurance,30,none,own,1,skilled,1,none,yes,No Risk
752,no_checking,44,outstanding_credit,repairs,6177,unknown,greater_7,5,majority,co-applicant,3,car_other,55,none,free,3,skilled,2,yes,yes,No Risk
753,0_to_200,33,prior_payments_delayed,appliances,2428,100_to_500,greater_7,4,majority,none,4,car_other,35,none,own,1,skilled,1,none,yes,No Risk
754,0_to_200,16,prior_payments_delayed,furniture,2997,less_100,4_to_7,4,majority,none,3,savings_insurance,26,none,free,2,management_self-employed,1,none,yes,No Risk
755,0_to_200,13,prior_payments_delayed,car_used,2279,less_100,4_to_7,2,minority,none,2,savings_insurance,46,bank,own,2,unemployed,1,yes,yes,Risk
756,0_to_200,28,outstanding_credit,car_used,3720,greater_1000,greater_7,4,minority,none,4,car_other,38,none,own,2,skilled,1,none,no,Risk
757,less_0,8,all_credits_paid_back,education,2528,less_100,1_to_4,2,minority,none,2,savings_insurance,38,none,own,1,skilled,1,none,yes,Risk
758,0_to_200,4,credits_paid_to_date,vacation,2685,less_100,4_to_7,2,minority,co-applicant,3,car_other,42,none,own,1,skilled,1,none,yes,Risk
759,0_to_200,20,credits_paid_to_date,furniture,4026,500_to_1000,less_1,3,majority,none,2,car_other,36,none,own,1,skilled,1,none,yes,No Risk
760,greater_200,31,prior_payments_delayed,education,1286,100_to_500,1_to_4,3,minority,none,3,real_estate,35,none,own,1,skilled,1,none,yes,Risk
761,0_to_200,14,credits_paid_to_date,car_new,2055,less_100,4_to_7,3,majority,none,2,savings_insurance,33,none,own,1,skilled,1,none,yes,No Risk
762,less_0,5,prior_payments_delayed,furniture,1993,less_100,less_1,2,minority,none,3,savings_insurance,33,none,own,1,skilled,1,none,yes,Risk
763,no_checking,25,prior_payments_delayed,radio_tv,5015,100_to_500,1_to_4,3,majority,none,4,car_other,45,stores,own,1,unskilled,1,yes,yes,No Risk
764,less_0,4,credits_paid_to_date,car_new,250,less_100,1_to_4,2,minority,none,1,savings_insurance,40,none,own,1,skilled,1,none,yes,Risk
765,0_to_200,25,prior_payments_delayed,radio_tv,3420,500_to_1000,greater_7,2,minority,none,3,car_other,45,none,own,2,skilled,1,yes,yes,Risk
766,0_to_200,4,all_credits_paid_back,car_new,1704,less_100,1_to_4,3,minority,none,2,car_other,19,none,own,1,skilled,1,none,yes,Risk
767,no_checking,43,prior_payments_delayed,repairs,5775,500_to_1000,greater_7,5,majority,co-applicant,3,unknown,47,none,free,3,skilled,2,yes,yes,No Risk
768,0_to_200,14,credits_paid_to_date,furniture,6349,less_100,4_to_7,3,majority,none,2,savings_insurance,35,stores,own,1,unskilled,2,none,yes,No Risk
769,less_0,9,all_credits_paid_back,car_new,250,100_to_500,1_to_4,2,minority,none,1,savings_insurance,24,none,rent,1,skilled,2,yes,yes,Risk
770,less_0,16,prior_payments_delayed,retraining,1820,500_to_1000,greater_7,4,minority,none,3,car_other,22,stores,rent,1,skilled,2,none,yes,Risk
771,no_checking,45,prior_payments_delayed,appliances,6038,500_to_1000,4_to_7,4,majority,guarantor,5,unknown,58,none,free,2,skilled,2,yes,yes,No Risk
772,less_0,17,credits_paid_to_date,furniture,1195,less_100,less_1,3,minority,none,3,real_estate,36,none,own,1,skilled,1,none,yes,Risk
773,greater_200,29,outstanding_credit,radio_tv,6198,500_to_1000,1_to_4,4,minority,guarantor,5,car_other,50,none,free,1,skilled,1,yes,yes,Risk
774,less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,majority,none,2,real_estate,24,bank,rent,1,unskilled,1,none,yes,No Risk
775,no_checking,37,outstanding_credit,appliances,5703,greater_1000,greater_7,5,majority,co-applicant,4,unknown,47,none,free,2,skilled,1,yes,yes,No Risk
776,0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,minority,none,2,real_estate,29,none,own,1,skilled,1,yes,yes,Risk
777,less_0,10,all_credits_paid_back,car_used,1349,100_to_500,less_1,2,minority,none,1,car_other,36,stores,rent,1,unskilled,2,none,yes,Risk
778,no_checking,33,outstanding_credit,appliances,7941,500_to_1000,4_to_7,5,majority,co-applicant,4,unknown,36,none,free,2,skilled,1,yes,yes,No Risk
779,less_0,8,all_credits_paid_back,car_new,250,less_100,unemployed,2,minority,none,2,savings_insurance,19,none,rent,1,skilled,1,none,yes,Risk
780,no_checking,20,credits_paid_to_date,retraining,3282,100_to_500,1_to_4,4,minority,none,4,savings_insurance,42,none,own,2,skilled,1,none,yes,Risk
781,no_checking,28,outstanding_credit,other,5653,greater_1000,4_to_7,4,minority,none,4,unknown,55,none,own,2,skilled,2,yes,yes,Risk
782,less_0,7,all_credits_paid_back,car_used,250,less_100,1_to_4,1,majority,none,2,real_estate,23,none,rent,1,skilled,1,none,yes,No Risk
783,0_to_200,19,prior_payments_delayed,radio_tv,4312,greater_1000,1_to_4,2,majority,none,3,car_other,38,none,own,2,skilled,1,none,yes,No Risk
784,0_to_200,30,credits_paid_to_date,retraining,2668,less_100,less_1,2,minority,none,3,savings_insurance,20,none,own,1,skilled,1,none,yes,Risk
785,greater_200,28,prior_payments_delayed,furniture,3416,100_to_500,1_to_4,3,majority,none,4,car_other,34,none,rent,1,skilled,1,none,yes,No Risk
786,less_0,17,prior_payments_delayed,car_new,250,100_to_500,1_to_4,2,minority,none,2,real_estate,34,stores,rent,1,skilled,1,none,yes,Risk
787,0_to_200,25,credits_paid_to_date,furniture,3716,100_to_500,1_to_4,3,majority,none,3,savings_insurance,33,none,own,2,skilled,1,yes,yes,No Risk
788,no_checking,26,outstanding_credit,furniture,2180,500_to_1000,greater_7,4,majority,co-applicant,5,car_other,65,none,free,2,skilled,1,yes,yes,No Risk
789,no_checking,29,prior_payments_delayed,appliances,7499,100_to_500,1_to_4,3,majority,none,4,savings_insurance,38,none,own,2,management_self-employed,1,none,yes,No Risk
790,0_to_200,4,no_credits,car_new,451,less_100,unemployed,2,minority,none,3,real_estate,19,none,rent,1,skilled,1,none,yes,Risk
791,less_0,14,all_credits_paid_back,car_new,3364,100_to_500,less_1,1,minority,none,2,car_other,29,stores,own,1,unskilled,2,none,yes,Risk
792,less_0,4,credits_paid_to_date,car_used,250,less_100,less_1,1,minority,none,1,savings_insurance,19,stores,rent,1,skilled,1,none,yes,Risk
793,less_0,15,all_credits_paid_back,car_used,597,less_100,1_to_4,2,majority,none,1,savings_insurance,36,bank,own,1,unskilled,1,yes,yes,No Risk
794,no_checking,24,outstanding_credit,car_used,4793,greater_1000,4_to_7,3,majority,none,4,savings_insurance,38,none,own,2,skilled,1,none,yes,No Risk
795,no_checking,28,prior_payments_delayed,car_used,4155,unknown,greater_7,3,minority,none,3,unknown,43,none,own,2,skilled,1,yes,yes,Risk
796,no_checking,28,prior_payments_delayed,appliances,5145,100_to_500,greater_7,3,minority,guarantor,4,car_other,54,none,free,2,skilled,1,yes,yes,Risk
797,less_0,18,prior_payments_delayed,retraining,3270,less_100,1_to_4,3,minority,none,2,car_other,38,none,rent,1,skilled,1,none,yes,Risk
798,less_0,13,credits_paid_to_date,car_used,3068,less_100,unemployed,2,minority,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,Risk
799,0_to_200,26,credits_paid_to_date,radio_tv,6158,less_100,4_to_7,4,majority,none,4,car_other,51,none,own,2,skilled,1,yes,yes,No Risk
800,0_to_200,15,credits_paid_to_date,car_used,250,less_100,1_to_4,1,minority,none,2,savings_insurance,35,bank,rent,1,unemployed,1,yes,yes,Risk
801,0_to_200,13,credits_paid_to_date,car_new,1084,500_to_1000,4_to_7,3,minority,none,2,car_other,39,none,rent,2,unskilled,1,none,yes,Risk
802,0_to_200,4,prior_payments_delayed,car_used,250,less_100,less_1,2,minority,none,2,savings_insurance,48,bank,rent,1,unskilled,1,none,yes,Risk
803,0_to_200,20,credits_paid_to_date,car_new,3413,less_100,4_to_7,4,majority,none,4,savings_insurance,35,none,own,1,skilled,1,yes,yes,No Risk
804,0_to_200,18,credits_paid_to_date,furniture,3182,500_to_1000,less_1,3,minority,none,3,real_estate,25,bank,rent,1,unskilled,1,none,yes,Risk
805,0_to_200,27,prior_payments_delayed,car_used,2513,100_to_500,greater_7,4,majority,none,3,savings_insurance,32,none,own,2,skilled,1,yes,yes,No Risk
806,no_checking,8,prior_payments_delayed,radio_tv,2057,100_to_500,1_to_4,2,majority,none,3,car_other,35,stores,own,1,unskilled,1,none,yes,No Risk
807,less_0,22,credits_paid_to_date,vacation,2627,less_100,1_to_4,3,minority,none,1,car_other,34,bank,rent,1,unemployed,1,none,yes,Risk
808,less_0,4,all_credits_paid_back,car_new,4853,less_100,less_1,1,minority,none,2,savings_insurance,19,none,rent,1,skilled,1,none,yes,Risk
809,less_0,10,all_credits_paid_back,car_new,1601,less_100,less_1,1,majority,none,2,savings_insurance,27,stores,rent,1,skilled,1,none,yes,No Risk
810,no_checking,13,credits_paid_to_date,furniture,4409,less_100,less_1,2,minority,co-applicant,2,real_estate,32,none,own,1,skilled,1,none,yes,Risk
811,no_checking,38,prior_payments_delayed,repairs,6061,unknown,4_to_7,4,majority,none,4,unknown,46,bank,own,2,unemployed,2,yes,yes,No Risk
812,0_to_200,16,prior_payments_delayed,retraining,1062,greater_1000,1_to_4,2,majority,none,3,car_other,29,bank,rent,1,unemployed,1,yes,yes,No Risk
813,less_0,17,no_credits,vacation,1970,100_to_500,1_to_4,3,minority,none,2,savings_insurance,36,bank,rent,1,unemployed,1,none,yes,Risk
814,less_0,21,credits_paid_to_date,furniture,3417,less_100,1_to_4,2,majority,none,2,car_other,23,stores,own,1,skilled,1,none,yes,No Risk
815,no_checking,39,outstanding_credit,furniture,6162,500_to_1000,4_to_7,4,majority,co-applicant,3,car_other,46,none,free,2,skilled,1,yes,yes,No Risk
816,0_to_200,13,credits_paid_to_date,car_new,1145,less_100,less_1,3,minority,none,3,savings_insurance,19,none,own,1,skilled,1,none,yes,Risk
817,0_to_200,23,outstanding_credit,appliances,3706,100_to_500,greater_7,4,majority,none,4,savings_insurance,37,none,own,2,skilled,1,none,yes,No Risk
818,no_checking,10,credits_paid_to_date,furniture,583,greater_1000,1_to_4,3,minority,none,4,real_estate,38,none,own,1,skilled,1,none,yes,Risk
819,no_checking,32,prior_payments_delayed,appliances,6680,100_to_500,greater_7,5,majority,none,4,unknown,44,none,free,2,management_self-employed,2,yes,yes,No Risk
820,0_to_200,27,credits_paid_to_date,furniture,361,100_to_500,4_to_7,2,majority,none,2,car_other,34,stores,own,1,skilled,1,yes,yes,No Risk
821,0_to_200,27,credits_paid_to_date,radio_tv,3411,less_100,less_1,3,majority,none,3,car_other,32,none,own,1,skilled,1,none,yes,No Risk
822,no_checking,22,outstanding_credit,car_used,4668,500_to_1000,1_to_4,2,majority,none,3,car_other,43,bank,rent,1,unskilled,1,yes,yes,No Risk
823,no_checking,32,prior_payments_delayed,furniture,9016,100_to_500,1_to_4,4,majority,co-applicant,5,unknown,46,none,free,2,management_self-employed,1,yes,yes,No Risk
824,0_to_200,31,outstanding_credit,repairs,4681,unknown,greater_7,3,minority,none,4,unknown,48,stores,own,2,skilled,1,yes,yes,Risk
825,less_0,20,credits_paid_to_date,furniture,1944,100_to_500,1_to_4,2,minority,co-applicant,1,savings_insurance,37,bank,own,1,unemployed,1,yes,yes,Risk
826,0_to_200,22,all_credits_paid_back,car_new,250,500_to_1000,4_to_7,3,majority,none,2,savings_insurance,31,none,own,1,skilled,1,none,yes,No Risk
827,no_checking,33,prior_payments_delayed,furniture,4553,unknown,4_to_7,4,minority,none,4,savings_insurance,49,none,own,2,skilled,1,none,yes,Risk
828,0_to_200,4,all_credits_paid_back,car_used,250,less_100,1_to_4,2,minority,none,2,real_estate,19,none,own,1,skilled,1,none,yes,Risk
829,less_0,25,prior_payments_delayed,car_used,1242,100_to_500,1_to_4,2,majority,none,3,savings_insurance,28,stores,rent,1,skilled,1,none,yes,No Risk
830,no_checking,25,prior_payments_delayed,radio_tv,4056,100_to_500,1_to_4,4,majority,none,2,real_estate,28,none,own,1,management_self-employed,1,none,yes,No Risk
831,no_checking,38,prior_payments_delayed,furniture,5804,500_to_1000,greater_7,3,majority,co-applicant,5,unknown,46,none,own,2,skilled,1,yes,yes,No Risk
832,greater_200,16,outstanding_credit,radio_tv,2832,greater_1000,4_to_7,4,majority,none,3,car_other,33,none,own,1,skilled,1,none,yes,No Risk
833,no_checking,39,prior_payments_delayed,furniture,5628,500_to_1000,1_to_4,4,majority,none,3,savings_insurance,38,none,own,1,skilled,1,none,yes,No Risk
834,less_0,7,all_credits_paid_back,car_new,250,less_100,unemployed,1,majority,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
835,less_0,37,credits_paid_to_date,appliances,4893,greater_1000,1_to_4,3,majority,none,3,savings_insurance,30,none,rent,2,skilled,1,none,yes,No Risk
836,no_checking,14,outstanding_credit,car_used,1286,100_to_500,1_to_4,3,minority,co-applicant,4,savings_insurance,46,bank,own,1,unskilled,2,yes,no,Risk
837,0_to_200,16,credits_paid_to_date,car_new,2440,500_to_1000,1_to_4,3,majority,none,2,car_other,41,none,own,1,skilled,1,none,yes,No Risk
838,0_to_200,22,prior_payments_delayed,car_new,3412,less_100,1_to_4,2,majority,none,1,savings_insurance,29,none,free,1,skilled,1,none,yes,No Risk
839,less_0,15,credits_paid_to_date,car_used,946,500_to_1000,1_to_4,2,majority,none,3,car_other,26,none,rent,1,skilled,1,none,yes,No Risk
840,0_to_200,17,credits_paid_to_date,car_used,250,500_to_1000,1_to_4,2,majority,none,1,savings_insurance,28,none,rent,1,skilled,1,none,yes,No Risk
841,no_checking,27,prior_payments_delayed,car_used,6906,100_to_500,1_to_4,4,minority,none,4,car_other,42,none,own,2,skilled,1,none,yes,Risk
842,no_checking,21,credits_paid_to_date,car_used,3614,less_100,less_1,3,majority,none,4,savings_insurance,35,none,own,2,management_self-employed,1,yes,yes,No Risk
843,no_checking,45,outstanding_credit,vacation,9759,500_to_1000,greater_7,5,majority,co-applicant,3,car_other,48,none,free,2,skilled,2,yes,yes,No Risk
844,greater_200,29,prior_payments_delayed,radio_tv,2871,100_to_500,4_to_7,4,majority,co-applicant,4,real_estate,31,bank,own,1,unskilled,1,yes,yes,No Risk
845,less_0,21,prior_payments_delayed,radio_tv,2105,500_to_1000,1_to_4,3,minority,none,3,car_other,33,stores,own,2,skilled,1,none,yes,Risk
846,less_0,10,all_credits_paid_back,car_new,1078,less_100,1_to_4,1,minority,none,2,real_estate,21,stores,own,1,skilled,1,none,yes,Risk
847,no_checking,31,prior_payments_delayed,car_used,6099,100_to_500,4_to_7,4,minority,none,4,car_other,39,none,own,2,management_self-employed,1,yes,yes,Risk
848,less_0,11,credits_paid_to_date,car_used,250,less_100,unemployed,1,minority,none,1,real_estate,19,stores,rent,1,skilled,1,none,yes,Risk
849,no_checking,32,prior_payments_delayed,appliances,6064,100_to_500,4_to_7,3,minority,none,4,unknown,43,none,own,2,skilled,1,yes,yes,Risk
850,0_to_200,10,credits_paid_to_date,vacation,2325,less_100,unemployed,3,minority,none,3,savings_insurance,22,bank,rent,1,unskilled,1,none,yes,Risk
851,0_to_200,16,credits_paid_to_date,furniture,3008,100_to_500,4_to_7,2,majority,none,3,savings_insurance,30,bank,own,1,unskilled,2,none,yes,No Risk
852,no_checking,19,outstanding_credit,appliances,1939,500_to_1000,1_to_4,3,majority,none,2,savings_insurance,31,none,free,1,skilled,1,yes,yes,No Risk
853,no_checking,26,prior_payments_delayed,furniture,6122,100_to_500,greater_7,3,majority,co-applicant,2,unknown,50,none,free,2,skilled,1,yes,yes,No Risk
854,no_checking,14,credits_paid_to_date,furniture,1810,100_to_500,4_to_7,3,majority,none,4,savings_insurance,39,none,own,2,skilled,1,yes,yes,No Risk
855,less_0,10,all_credits_paid_back,car_used,250,100_to_500,less_1,1,minority,none,2,savings_insurance,27,stores,own,3,unskilled,2,yes,yes,Risk
856,no_checking,15,credits_paid_to_date,car_new,1530,100_to_500,1_to_4,3,majority,none,4,real_estate,26,none,own,1,skilled,1,none,yes,No Risk
857,0_to_200,20,credits_paid_to_date,repairs,2654,500_to_1000,less_1,2,majority,none,3,savings_insurance,26,none,own,1,skilled,2,none,yes,No Risk
858,no_checking,25,prior_payments_delayed,car_used,1773,500_to_1000,greater_7,4,minority,none,4,savings_insurance,45,none,own,1,skilled,1,yes,yes,Risk
859,no_checking,24,prior_payments_delayed,radio_tv,4604,100_to_500,4_to_7,4,majority,none,3,car_other,54,none,own,2,skilled,1,yes,yes,No Risk
860,less_0,6,no_credits,car_new,250,less_100,unemployed,2,majority,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
861,less_0,13,all_credits_paid_back,furniture,815,less_100,unemployed,2,majority,none,1,real_estate,19,none,own,1,management_self-employed,1,none,yes,No Risk
862,no_checking,16,credits_paid_to_date,car_used,3982,100_to_500,1_to_4,4,majority,none,3,car_other,38,none,own,2,management_self-employed,1,none,yes,No Risk
863,no_checking,24,prior_payments_delayed,radio_tv,6520,100_to_500,greater_7,5,majority,none,5,car_other,45,none,free,3,management_self-employed,2,yes,yes,No Risk
864,less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,majority,none,1,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
865,less_0,24,credits_paid_to_date,car_new,501,500_to_1000,4_to_7,3,minority,none,1,savings_insurance,26,stores,own,2,unskilled,2,yes,yes,Risk
866,less_0,7,all_credits_paid_back,car_new,250,less_100,unemployed,1,majority,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
867,no_checking,34,credits_paid_to_date,appliances,4957,greater_1000,1_to_4,4,minority,guarantor,2,real_estate,41,none,own,1,skilled,1,none,yes,Risk
868,no_checking,34,outstanding_credit,appliances,2561,unknown,4_to_7,3,majority,none,4,savings_insurance,42,bank,own,2,unskilled,2,yes,yes,No Risk
869,no_checking,30,prior_payments_delayed,appliances,7420,500_to_1000,1_to_4,4,minority,none,2,car_other,44,bank,own,2,unskilled,1,none,yes,Risk
870,no_checking,30,outstanding_credit,appliances,3319,greater_1000,greater_7,4,minority,none,3,unknown,33,none,own,1,skilled,2,yes,yes,Risk
871,less_0,8,all_credits_paid_back,car_used,1895,less_100,less_1,2,minority,none,2,real_estate,39,stores,own,1,unskilled,1,none,yes,Risk
872,no_checking,22,credits_paid_to_date,radio_tv,4353,less_100,4_to_7,4,majority,guarantor,4,car_other,45,none,free,2,skilled,2,yes,yes,No Risk
873,less_0,9,all_credits_paid_back,education,481,less_100,less_1,2,majority,none,3,savings_insurance,25,none,rent,1,management_self-employed,1,none,yes,No Risk
874,less_0,4,all_credits_paid_back,car_used,432,less_100,less_1,1,majority,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
875,no_checking,27,prior_payments_delayed,appliances,5926,unknown,4_to_7,3,majority,none,3,unknown,44,bank,own,2,unskilled,2,yes,yes,No Risk
876,less_0,19,credits_paid_to_date,furniture,250,500_to_1000,1_to_4,2,minority,none,2,car_other,32,stores,rent,2,unskilled,1,none,yes,Risk
877,no_checking,46,outstanding_credit,retraining,7876,500_to_1000,4_to_7,5,majority,co-applicant,5,unknown,49,none,free,2,management_self-employed,2,yes,yes,No Risk
878,no_checking,31,outstanding_credit,radio_tv,2523,500_to_1000,greater_7,4,minority,none,3,unknown,38,none,own,1,skilled,1,yes,yes,Risk
879,no_checking,30,outstanding_credit,radio_tv,9647,500_to_1000,greater_7,5,majority,co-applicant,4,unknown,58,none,free,2,skilled,1,yes,yes,No Risk
880,less_0,29,credits_paid_to_date,furniture,2343,less_100,1_to_4,2,majority,none,3,car_other,33,stores,own,1,skilled,1,yes,yes,No Risk
881,less_0,14,prior_payments_delayed,furniture,1072,less_100,1_to_4,1,majority,none,3,savings_insurance,32,stores,own,1,skilled,1,none,yes,No Risk
882,greater_200,26,outstanding_credit,repairs,5940,greater_1000,1_to_4,4,majority,none,4,unknown,25,stores,own,1,unskilled,1,none,yes,No Risk
883,no_checking,33,outstanding_credit,furniture,6465,unknown,greater_7,4,minority,guarantor,5,unknown,66,none,free,2,unskilled,1,yes,yes,Risk
884,less_0,22,credits_paid_to_date,appliances,2448,less_100,4_to_7,3,minority,none,3,savings_insurance,36,none,own,1,skilled,1,none,yes,Risk
885,no_checking,31,prior_payments_delayed,radio_tv,6714,100_to_500,greater_7,4,majority,co-applicant,5,savings_insurance,51,none,own,2,management_self-employed,1,yes,yes,No Risk
886,greater_200,13,credits_paid_to_date,car_new,250,greater_1000,1_to_4,2,majority,none,3,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
887,greater_200,27,credits_paid_to_date,car_new,4972,greater_1000,4_to_7,4,majority,none,4,unknown,36,none,own,2,skilled,1,none,yes,No Risk
888,less_0,14,all_credits_paid_back,car_new,250,500_to_1000,less_1,2,majority,none,2,savings_insurance,24,stores,own,1,skilled,1,none,yes,No Risk
889,no_checking,26,outstanding_credit,appliances,5556,greater_1000,greater_7,5,majority,none,3,car_other,58,none,own,2,skilled,2,yes,yes,No Risk
890,no_checking,40,prior_payments_delayed,appliances,6728,500_to_1000,4_to_7,5,majority,none,4,car_other,33,none,own,2,management_self-employed,2,yes,yes,No Risk
891,no_checking,39,credits_paid_to_date,business,6676,100_to_500,less_1,4,majority,co-applicant,3,car_other,38,none,free,2,skilled,1,yes,yes,No Risk
892,0_to_200,16,credits_paid_to_date,car_used,517,less_100,1_to_4,3,minority,none,1,savings_insurance,27,none,rent,1,skilled,1,none,no,Risk
893,no_checking,35,prior_payments_delayed,vacation,5059,unknown,greater_7,4,majority,none,4,savings_insurance,43,none,free,2,skilled,1,yes,yes,No Risk
894,no_checking,20,credits_paid_to_date,education,4071,100_to_500,1_to_4,4,majority,none,3,car_other,45,none,own,2,skilled,1,none,yes,No Risk
895,0_to_200,42,outstanding_credit,radio_tv,6983,500_to_1000,greater_7,5,majority,co-applicant,3,unknown,42,stores,own,2,unskilled,1,yes,yes,No Risk
896,no_checking,30,outstanding_credit,repairs,3671,500_to_1000,greater_7,5,majority,none,4,car_other,52,none,own,1,skilled,1,yes,yes,No Risk
897,0_to_200,16,no_credits,car_new,2205,less_100,less_1,2,minority,none,3,savings_insurance,41,none,own,1,skilled,1,none,yes,Risk
898,no_checking,14,outstanding_credit,retraining,8243,greater_1000,1_to_4,4,majority,none,5,unknown,44,none,own,2,management_self-employed,2,yes,yes,No Risk
899,no_checking,29,prior_payments_delayed,education,6693,500_to_1000,4_to_7,4,majority,none,5,car_other,47,none,own,2,management_self-employed,1,yes,yes,No Risk
900,0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,1,minority,none,3,savings_insurance,19,none,own,1,skilled,1,none,yes,Risk
901,less_0,14,prior_payments_delayed,radio_tv,1802,less_100,unemployed,1,minority,none,1,savings_insurance,37,stores,own,1,skilled,1,yes,yes,Risk
902,no_checking,31,prior_payments_delayed,radio_tv,3555,500_to_1000,1_to_4,3,majority,none,4,car_other,32,stores,own,2,unskilled,1,yes,yes,No Risk
903,0_to_200,23,prior_payments_delayed,car_used,5851,less_100,1_to_4,4,minority,none,3,unknown,47,none,own,2,skilled,1,none,yes,Risk
904,no_checking,22,outstanding_credit,furniture,2634,unknown,4_to_7,3,minority,none,4,unknown,43,none,own,2,skilled,2,yes,yes,Risk
905,no_checking,37,credits_paid_to_date,furniture,5433,500_to_1000,4_to_7,3,majority,none,3,savings_insurance,39,none,own,2,skilled,1,yes,yes,No Risk
906,no_checking,32,prior_payments_delayed,vacation,5743,100_to_500,less_1,4,majority,none,3,savings_insurance,29,none,own,1,management_self-employed,1,none,yes,No Risk
